url,category_code,category_description,date_added,source,notes,
dit-inc.us,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dmoz.org,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
doctissimo.fr,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dogpile.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dopplr.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dotster.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
download.com,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dreamhost.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dropbox.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
drudgereport.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
drugsense.org,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
dw-world.de,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ea.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
earthaction.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
earthrights.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
earthwatch.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ebaumsworld.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ebay.com,COMM,E-commerce,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
eccouncil.org,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
echr.coe.int,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
economist.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ectaco.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ectaco.com/info/software/?atid=2021,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
edf.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
eea.europa.eu,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
eelam.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
eff.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
efindlove.com,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
efonica.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
eharmony.com,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
eln-voces.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
eluniversal.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
emule.com,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
engenderhealth.org,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
enom.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
epa.gov,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
episcopalchurch.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
episcopalrelief.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
erowid.org,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
eurogrand.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
europacasino.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
euthanasia.cc,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
eveonline.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
excite.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
exgay.com,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
exmormon.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
exploit-db.com,HACK,Hacking Tools,2016-06-10,OONI,Updated by OONI on 2017-02-14,
facebook.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
facebook.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
familiesaretalking.org,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
familycareintl.org,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fark.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fastmail.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
feedtheminds.org,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
feminist.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
feminist.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fepproject.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fgmnetwork.org,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fhi360.org,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fidh.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
figleaves.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
flickr.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
foe.co.uk,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fondationdefrance.org,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fordfound.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
foreignword.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
formercatholic.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fotki.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fotolog.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
foxnews.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
frc.org,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
freedominfo.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
freeexpression.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
freehomepage.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
freeservers.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
freespeech.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
freespeech.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
freespeechcoalition.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
freetranslation.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
freewebspace.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
freshpair.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
friendster.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fring.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
frontlinedefenders.org,HUMR,Human Rights Issues,2017-02-17,OONI,,
ft.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
fuckingfreemovies.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gambling.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gamenode.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gamespot.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gamingday.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gatesfoundation.org,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gay.com,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gayegypt.com,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gayhealth.com,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gayscape.com,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gearthblog.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
genderandaids.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
genderhealth.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
geocities.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ghostrecon.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
giganews.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ginvodka.org,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
github.com,HOST,Hosting and Blogging Platforms,2018-02-06,EvasivePangolin,,
glaad.org,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
glbtqarchive.com,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
glil.org,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
globalfire.tv,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
globalfundforwomen.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
globalpolicy.org,IGO,Intergovernmental Organizations,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
globet.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gmail.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gmhc.org,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gmx.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gnu.org,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gnupg.org,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
goarch.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
godaddy.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
godalone.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
goldenrivieracasino.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
google.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
google.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
google.com/search?q=gay,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
google.com/search?q=lesbian,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
google.com/search?q=transsexual,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
google.com/transparencyreport,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
gotgayporn.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
grandonline.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
granma.cu,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
greennet.org.uk,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
greenpeace.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
grindr.com,LGBT,LGBT,2016-07-22,OONI,Updated by OONI on 2017-02-14,
grindr.mobi,LGBT,LGBT,2020-07-22,citizenlab,main rest api endpoint used by app,
groupon.com,COMM,E-commerce,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
guerrillagirls.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
guildwars.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
haaretz.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
habbo.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hackforums.net,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hackhull.com,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hacktivismo.com,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hanes.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
harkatulmujahideen.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
helvetas.ch,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
herdict.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
heritage.org,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
thehiddenwiki.org,MISC,Miscelaneous content,2017-08-15,A.Gh.,blocked in Egypt and probably elsewhere,
hidemyass.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hightail.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hitler.org,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hivandhepatitis.com,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hizb-ut-tahrir.org,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hon.ch,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
honduras.com,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hospitalityclub.org,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hostgator.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hotbot.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hotmail.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hotspotshield.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hrc.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hrcr.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hrea.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hrusa.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hrw.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
http-tunnel.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
huffingtonpost.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
humanrightsconnected.org,HUMR,Human Rights Issues,2018-10-15,HRC,,
humanrightsfirst.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hushmail.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
hustler.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
iaffe.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
iavi.org,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
icc-cpi.int,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
icftu.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
icj.org,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
iconnecthere.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
icrc.org/en/home,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
icrw.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ict.org.il,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ictj.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
idea.int,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
idrc.ca,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
idsoftware.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
iea.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ifad.org,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ifeminists.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ifex.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ifge.org,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ifj.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ifrc.org,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ihf-hr.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ihr.org,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ihrc.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
iico.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
iicwc.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ijm.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ilhr.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ilo.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
imdb.com,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
imf.org,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
implantinfo.com,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
inbox.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
indiatimes.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
inetprivacy.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
infowar-monitor.net,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
inminds.co.uk,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
instagram.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
interactworldwide.org,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
internationalrivers.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
interpol.int,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ipcc.ch,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ipetitions.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ipredator.se,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ipvanish.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
irna.ir,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
isiswomen.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
iskcon.com,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
islamdoor.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
islameyat.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
islamic-relief.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
islamicity.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
islaminstitut.de/en,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
isscr.org,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
itsyoursexlife.com,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
itunes.com,COMM,E-commerce,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
iucn.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
iwantim.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jackdaniels.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jdate.com,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jdl.org,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jesussaves.cc,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jewwatch.com,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jfcom.mil,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jhr.ca,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jihadwatch.org,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jmarshall.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jmarshall.com/tools/cgiproxy,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
jsf.mil,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
judaism.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
judaismconversion.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
kazaa.com,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
kbs-frb.be,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
kcna.kp,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
keptprivate.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
khilafah.com,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
khrp.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
kraken.com,COMM,E-commerce,2018-11-15,blockchain,Initial tracking of cryptocurrencies on 2018-11-15. Cryptocurrency exchange,
kurtuluscephesi.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
laborrightsnow.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
lanacion.com.ar,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
lasenza.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
last.fm,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
latimes.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
latinmail.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
law-lib.utoronto.ca/Diana,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
layevangelism.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
lds.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
learningpartnership.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
leaseweb.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
lemonde.fr,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
lesbiansubmission.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
lingerieatlarge.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
lingeriebowl.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
lingo.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
linkedin.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
linkedin.com,GRP,Social Networking,2016-11-11,citizenlab,Updated by OONI on 2017-02-14,
linphone.org,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
literotica.com,CULTR,Culture,2019-10-17,sinarproject,erotic fiction,
livejournal.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
liveleak.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
luckynugget.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
luwaran.net,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
lycos.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
lyricwiki.org,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
macfound.org,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
madre.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
mail.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
mail.lycos.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
mail2web.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
mailinator.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
mainichi.co.jp,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
malware.com,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
mamma.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
mariestopes.org.uk,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
marijuana.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
martus.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
marxists.org,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
match.com,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
