url,category_code,category_description,date_added,source,notes,
accessnow.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
acdi-cida.gc.ca,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
aceshigh.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
acquisitionx.com,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
actionaid.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
adl.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
adventist.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
advocate.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
advocatesforyouth.org,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
af.mil,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
afp.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
afterellen.com,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
agentprovocateur.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ahram.org.eg,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
aidsalliance.org,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
aidsonline.com,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
akdn.org,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
alarabiya.net,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
aleph.to,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
aljazeera.net,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
almanar.com.lb,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
alqassam.ps,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
altavista.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
altpenis.com,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
amazon.com,COMM,E-commerce,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
americannaziparty.com,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
amnesty.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ananzi.co.za,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
angelfire.lycos.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
anglicancommunion.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
angryharry.com,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
animalliberationfront.com,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
anonymitychecker.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
anonymizer.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
anonymizer.ru,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
anonymsurfen.com,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
apple.com,COMM,E-commerce,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
